seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
43,adni_to_nacc,metadata,source_test,1.5T,complete,0.7813765182186234,0.9089068825910931,0.7550717466600694,0.6153846153846154,0.9473684210526315,0.7555555555555555,0.1539688958313003,0.0636129426900987,0.25,0.75,45,45
43,adni_to_nacc,metadata,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.023500731530073787,0.11804678870571983,,,6,6
43,adni_to_nacc,metadata_xda,target,3T,complete,0.5,0.5,0.16230366492146597,1.0,0.0,0.19375,0.80625,0.80625,0.0,0.5,960,960
43,adni_to_nacc,metadata_xda,source_val,1.5T,complete,0.8730769230769231,0.9096153846153846,0.8685714285714285,0.8461538461538461,0.9,0.8695652173913043,0.13476001559392511,0.16096285590227094,0.17142857142857149,0.8285714285714285,46,46
43,adni_to_nacc,metadata_xda,source_val,3T,complete,0.7285714285714285,0.8285714285714285,0.7333333333333332,0.6,0.8571428571428571,0.75,0.2267008783307823,0.24424836991561777,0.375,0.625,12,12
43,adni_to_nacc,metadata_xda,source_test,1.5T,complete,0.7651821862348178,0.8947368421052632,0.7685185185185185,0.8461538461538461,0.6842105263157895,0.7777777777777778,0.1550430441294353,0.12173165873244951,0.33333333333333337,0.6666666666666666,45,45
43,adni_to_nacc,metadata_xda,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.011338470626692394,0.053023432691891983,,,6,6
43,adni_to_nacc,apis_v2,target,3T,complete,0.7711302825706426,0.8768025339668251,0.7750429458661852,0.6236559139784946,0.9186046511627907,0.8614583333333333,0.10383490182231264,0.01782519007101659,0.1443053110572292,0.7948849104859336,960,960
43,adni_to_nacc,apis_v2,source_val,1.5T,complete,0.8423076923076923,0.8865384615384615,0.8442186744073537,0.8846153846153846,0.8,0.8478260869565217,0.13634865152585723,0.09111361954955088,0.3142857142857143,0.6857142857142857,46,46
43,adni_to_nacc,apis_v2,source_val,3T,complete,0.7285714285714285,0.8,0.7333333333333332,0.6,0.8571428571428571,0.75,0.1905986700220963,0.13775729512174917,0.5,0.5,12,12
43,adni_to_nacc,apis_v2,source_test,1.5T,complete,0.791497975708502,0.8866396761133604,0.7934727180010198,0.8461538461538461,0.7368421052631579,0.8,0.1331603726921296,0.05630087668145147,0.2857142857142857,0.7142857142857143,45,45
43,adni_to_nacc,apis_v2,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.03629734952788035,0.15307352609104577,,,6,6
43,nacc_to_adni,ce_only,target,1.5T,complete,0.8140589569160998,0.9302721088435375,0.8035087719298246,0.7301587301587301,0.8979591836734694,0.8035714285714286,0.1430942807612763,0.11348860346673376,0.1428571428571428,0.8571428571428572,224,224
